header,class,mechanism,group
Bla|CMY-63|HQ650104|64-1209|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|KC964871.1|gene1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
MLS|NC_023287.1.18156494|MLS|Macrolide_resistance_efflux_pumps|MEFA,MLS,Macrolide resistance efflux pumps,MEFA
Bla|CTX-M-46|AY847147|82-957|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|CMY-79|JQ733576|1028-2173|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Sul|CP000675.2|gene3019|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
ACou|NC_006582.1.320275|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
Bla|SHV-11_13_DQ219476|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Flq|NC_009641.5331984|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,GYRA
Bla|CMY-41|AB429270|15-1160|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|OXA-208|FR853176|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-51_3_EU255296|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|AF132290|87-948|ARO:3001076|SHV-18|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Met|nimB_1_X71443|Metronidazole|nim_nitroimidazole_reductase|NIMB,Metronidazole,nim nitroimidazole reductase,NIMB
946|DQ464881.1|DQ464881|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULII
CARD|phgb|AM982520|5548-6424|ARO:3001937|CTX-M-76|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Flq|NC_012491.1.7720231|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,Fluoroquinolones,Fluoroquinolone-resistant DNA topoisomerases,PARC
CARD|phgb|AJ012256|208-1069|ARO:3000939|TEM-73|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|TEM-128|AY359287|186-1046|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|54873595|gb|AY277255.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|KF460531.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|GES-21|JQ772478|141-1004|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
gi|6176541|gb|AF190692.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|OXA-56_1_EF437948|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|CTX-M-130|JX017365|245-1120|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Tet|tetW_6_FN396364|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETW,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TETW
Phe|FJ460181.2|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,Phenicol,Chloramphenicol acetyltransferases,CATB
Bla|LEN-2|AY037780|286-1125|861|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|SHV-11_9_FJ483937|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|CMY-60_1_HQ267531|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
gi|597709739|emb|HG934764.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
gi|304359285|gb|HM559945.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Phe|X60827.1|gene2|Phenicol|Chloramphenicol_acetyltransferases|CATA,Phenicol,Chloramphenicol acetyltransferases,CATA
AGly|Aac6-Iaf|AB462903|1200-1751|552|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|CTX-M-12|AY293073|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Rif|CP003248.2|gene696|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
AGly|AM087405.1|gene3|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|TEM-144|DQ256080|215-1075|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|NC_009487.5167689|betalactams|Penicillin_binding_protein|MECA,betalactams,Penicillin binding protein,MECA
Tet|ortB_1_AF079900|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|OTRB,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,OTRB
Bla|SHV2A-kp|X62115|1281-2141|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|NC_007779|1115840-1117067|ARO:3001329|mdtG|Multi-drug_resistance|Multi-drug_efflux_pumps|MDTG,Multi-drug resistance,Multi-drug efflux pumps,MDTG
CARD|phgb|U00096|3203309-3204131|ARO:3002986|bacA|Bacitracin|Undecaprenyl_pyrophosphate_phosphatase|BACA,Bacitracin,Undecaprenyl pyrophosphate phosphatase,BACA
Bla|OXA-254_1_AB781687|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|X95635|259-1663|ARO:3000812|mtrE|Multi-drug_resistance|Multi-drug_efflux_pumps|MTRE,Multi-drug resistance,Multi-drug efflux pumps,MTRE
gi|784887|gb|L07945.1|PSEBLAOXA3|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|EU342351|172-1033|ARO:3001118|SHV-63|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|pvgb|AL123456|4407527-4408202|ARO:3003470|Mycobacterium|Aminoglycosides|Aminoglycoside-resistant_gidB|GIDB|RequiresSNPConfirmation,Aminoglycosides,Aminoglycoside-resistant gidB,GIDB
Bla|ampS_1_X80276|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|OXA-83|DQ309277|1-825|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|cfxA|U38243|150-1115|966|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX
gi|757399505|gb|KP050485.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Mdr|NC_002758.1121390|Multi-drug_resistance|MDR_regulator|ARLR,Multi-drug resistance,MDR regulator,ARLR
Bla|SHV-6|Y11069|1-780|780|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
AGly|Aph3-dprime-Ia|FJ172370|38668-39483|816|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME,Aminoglycosides,Aminoglycoside O-phosphotransferases,APH3-DPRIME
MLS|ermB_15U48430|MLS|23S_rRNA_methyltransferases|ERMB,MLS,23S rRNA methyltransferases,ERMB
gi|591389141|gb|KF986253.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
AGly|RmtD|DQ914960|9632-8889|744|Aminoglycosides|16S_rRNA_methyltransferases|RMTD,Aminoglycosides,16S rRNA methyltransferases,RMTD
Bla|OXY2-1|AJ871866|1-873|873|betalactams|Class_A_betalactamases|OXY,betalactams,Class A betalactamases,OXY
Rif|NC_003098.1.933647|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|SHV-82|AM176557|1-861|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
545|L25617.1|PSEAACDINT|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
Bla|CTX-M-80|EU202673|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
1293|HM750249.1|HM750249|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Tet|Tet-32|DQ647324|181-2100|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TET32,Tetracyclines,Tetracycline resistance ribosomal protection proteins,TET32
Tet|tetC_1_NC_002109|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETC,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETC
1218|FJ820124.1|FJ820124|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Bla|AF118110.1|gene1|betalactams|Class_A_betalactamases|CFX,betalactams,Class A betalactamases,CFX
Bla|OXA-51_8_EU255291|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|B-5|AF189303|1-750|750|betalactams|Class_B_betalactamases|BLAB,betalactams,Class B betalactamases,BLAB
ACou|NC_003112.2.903425|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,Aminocoumarins,Aminocoumarin-resistant DNA topoisomerases,PARE
44|AY768532.1|AY768532|MLS|Macrolide_resistance_efflux_pumps|MACB,MLS,Macrolide resistance efflux pumps,MACB
Tet|tetG_2_AF133139|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETG,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TETG
616|HQ875016.1|HQ875016|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Sul|CP004022.1|gene3451|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,FOLP
Bla|TEM-28|ECU37195|76-936|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
gi|257359514|gb|GQ428198.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|PBP|Ecoli|CP002291|664439-666340|1902|betalactams|Penicillin_binding_protein|PBP2,betalactams,Penicillin binding protein,PBP2
gi|442540408|gb|JX514368.1|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|MOX-7|GQ152602|1-1152|1152|betalactams|Class_C_betalactamases|MOX,betalactams,Class C betalactamases,MOX
CARD|phgb|NC_003112|1791966-1795170|ARO:3000811|mtrD|Multi-drug_resistance|Multi-drug_efflux_pumps|MTRD,Multi-drug resistance,Multi-drug efflux pumps,MTRD
Bla|AJ511268.1|gene2|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
gi|94960148|gb|DQ519087.1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
Bla|GES-18|JQ028729|1-864|864|betalactams|Class_A_betalactamases|GES,betalactams,Class A betalactamases,GES
Flq|QnrB30|HM439650|37-681|645|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,Fluoroquinolones,Quinolone resistance protein Qnr,QNRB
Bla|TEM-120|AY243512|209-1069|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Rif|NC_007793.3914836|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,Rifampin,Rifampin-resistant beta-subunit of RNA polymerase RpoB,RPOB
Bla|Y18050.2|gene3|betalactams|Class_B_betalactamases|VIM,betalactams,Class B betalactamases,VIM
Bla|TEM-143|DQ075245|218-1078|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CTX-M-11_1_AJ310929|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|cfiA14|FM200789|162-911|750|betalactams|Class_B_betalactamases|CFIA,betalactams,Class B betalactamases,CFIA
Bla|ACC-3|AF180957|1-1131|1131|betalactams|Class_C_betalactamases|ACC,betalactams,Class C betalactamases,ACC
Bla|OCH-7|AJ295345|1-1173|1173|betalactams|Class_C_betalactamases|OCH,betalactams,Class C betalactamases,OCH
Bla|LEN-9_1_AJ635405|betalactams|Class_A_betalactamases|LEN,betalactams,Class A betalactamases,LEN
Bla|SHV-69|DQ174308|5-865|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Bla|SHV-57|AY223863|171-1031|861|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
MLS|ereA_4_AF512546|MLS|Macrolide_esterases|EREA,MLS,Macrolide esterases,EREA
Sul|SulI|AF071413|6700-7539|840|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|CTX-M-38|AY753197|1-876|876|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Tmt|dfrC_1_GU565967|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation,Trimethoprim,Dihydrofolate reductase,DFRC
Bla|EU086834.1|gene1|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|AF237667|0-1446|ARO:3002813|lmrB|MLS|Lincosamide_efflux_pump|LMRB,MLS,Lincosamide efflux pump,LMRB
gi|2765064|emb|Y10278.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
gi|157812671|gb|EU177100.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|OXA-82|GQ352402|8775-9599|825|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
CARD|phgb|D38215|0-1539|ARO:3002893|tcr3|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TCR3,Tetracyclines,Tetracycline resistance major facilitator superfamily MFS efflux pumps,TCR3
gi|160948448|emb|AM176552.2|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|JQ340365|0-1434|ARO:3003583|PmrB|Cationic_antimicrobial_peptides|Polymyxin_B_resistance_regulator|PMRB,Cationic antimicrobial peptides,Polymyxin B resistance regulator,PMRB
Bla|TEM-59|AF062386|31-862|832|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Bla|CMY-21|DQ139328|1-1146|1146|betalactams|Class_C_betalactamases|CMY,betalactams,Class C betalactamases,CMY
Bla|TEM-24|GQ293500|4033-4893|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
Mdr|NC_002695.1.910541|Multi-drug_resistance|MDR_regulator|CPXAR,Multi-drug resistance,MDR regulator,CPXAR
gi|84380854|gb|DQ328802.1|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
Sul|AY758206.1|gene7|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI,Sulfonamides,Sulfonamide-resistant dihydropteroate synthases,SULI
Bla|SHV-1_16_FJ668800|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
CARD|phgb|AE017334|1495400-1496297|ARO:3003072|Bacillus|MLS|Macrolide_phosphotransferases|MPH,MLS,Macrolide phosphotransferases,MPH
Elf|NC_007622.3795131|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,Elfamycins,EF-Tu inhibition,TUFAB
Bla|OKP-B-6|AY850171|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
Bla|OKP-B-4|AM051153|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
475|unknown_id|unknown_name|betalactams|Class_A_betalactamases|PENA,betalactams,Class A betalactamases,PENA
AGly|AadA7|AF224733|32-829|798|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,Aminoglycosides,Aminoglycoside O-nucleotidyltransferases,ANT3-DPRIME
Bla|SHV-12_3_FJ668805|betalactams|Class_A_betalactamases|SHV,betalactams,Class A betalactamases,SHV
248|unknown_id|unknown_name|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,Tetracyclines,Tetracycline transcriptional repressor,TETR
226|FJ196385.1|FJ196385|betalactams|Class_D_betalactamases|OXA,betalactams,Class D betalactamases,OXA
gi|452107691|gb|KC351754.1|betalactams|Class_A_betalactamases|CTX,betalactams,Class A betalactamases,CTX
Bla|AJ584652.2|gene3|betalactams|Class_B_betalactamases|IMP,betalactams,Class B betalactamases,IMP
gi|46370396|gb|AY589495.1|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
1597|HQ713678.1|HQ713678|Phenicol|Phenicol_efflux_pumps|CML,Phenicol,Phenicol efflux pumps,CML
Bla|TEM-6|X57972|340-1200|861|betalactams|Class_A_betalactamases|TEM,betalactams,Class A betalactamases,TEM
CARD|phgb|EU250284|3557-4658|ARO:3002974|vanTrL|Glycopeptides|VanL-type_resistance_protein|VANTRL,Glycopeptides,VanL-type resistance protein,VANTRL
CARD|phgb|AY154657|0-1161|ARO:3000601|Erm38|MLS|23S_rRNA_methyltransferases|ERM,MLS,23S rRNA methyltransferases,ERM
Bla|OKP-A-5|AM051143|1-861|861|betalactams|Class_A_betalactamases|OKP,betalactams,Class A betalactamases,OKP
