header,type,class,mechanism,group
MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_18|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_19|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC2-PRIME
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_42|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3
MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME
MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME
MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC3-PRIME
MEG_71|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_72|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_73|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_74|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_76|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_77|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_79|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_81|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_82|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_87|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_89|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_90|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_92|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_93|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_94|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_95|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_96|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_97|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_98|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_100|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_107|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_108|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_110|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_111|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_112|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_113|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_114|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_115|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_116|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_117|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_118|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_119|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_120|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_121|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_122|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_123|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_124|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_125|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_126|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_127|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_128|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_129|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_130|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_131|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_132|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_133|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_134|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_135|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_136|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_137|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_138|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_139|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_140|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_141|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_142|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_143|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_144|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_145|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_146|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_147|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_148|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_149|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_150|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_151|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_152|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_153|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_154|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_155|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
MEG_156|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,Drugs,Aminoglycosides,Aminoglycoside N-acetyltransferases,AAC6-PRIME
