Source_Database	MEGARes_Header	Source_Headers(space_separated)
CARD	959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA	@phgb|M97297|10116-10601|ARO:3002962|vanZA [Enterococcus faecium]
NCBI	959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA	gi|975002886|gb|CP013996.1|6140-6625 gi|925192758|gb|CP012594.1|30623-30138 gi|830872341|gb|KR349520.1|12111-12596 gi|816206772|gb|KR047792.1|12110-12595 gi|409183623|gb|JQ663598.1|14479-13994 gi|695226492|ref|NG_041525.1|12380-12865 gi|359465430|dbj|AB611033.1|10315-9830 gi|343429995|dbj|AB663321.1|10116-10601 gi|319739722|gb|HQ115078.1|15123-14638 gi|312836941|dbj|AB563188.1|59565-59080
Resfinder	959|M97297.1|TRNVAN|Glycopeptides|VanA-type_accessory_protein|VANZA	VanZ-A_1_FJ866609
ARG-ANNOT	Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA	(Gly)VanY-A:M97297:9052-9963:912
CARD	Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA	@phgb|M97297|9052-9963|ARO:3002955|vanYA [Enterococcus faecium]
NCBI	Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA	gi|830872341|gb|KR349520.1|11047-11958 gi|695226492|ref|NG_041525.1|11316-12227 gi|359465430|dbj|AB611033.1|11379-10468 gi|695224489|ref|NG_041086.1|3155-2244 gi|695220799|ref|NG_039568.1|11053-11964 gi|196158933|emb|AM932524.1|9052-9963 gi|190350257|emb|AM931300.1|16383-15472 gi|186886499|gb|EU599211.1|10257-11168 gi|124012095|emb|AM410096.1|10447-9536 gi|121490884|emb|AM296544.1|10447-9536
Resfinder	Gly|VanY-A|M97297|9052-9963|912|Glycopeptides|VanA-type_accessory_protein|VANYA	VanY-A_2_M97297
NCBI	Mdr|AY769962.1|gene1|Multi-drug_resistance|Multi-drug_efflux_pumps|ADEAI	gi|984881271|gb|CP014215.1|3001623-3002873 gi|974022331|gb|CP013924.1|738992-737742 gi|827403829|gb|CP010779.1|743554-742304 gi|803657307|gb|CP007535.2|1085870-1087120 gi|615556143|gb|CP007577.1|2849370-2850620 gi|586958174|gb|CP006963.1|3316254-3317504 gi|546200742|dbj|AP013357.1|762283-761033 gi|522344435|gb|CP003849.1|3142289-3143539 gi|522324570|gb|CP003846.1|3231571-3232821 gi|407899266|gb|CP003856.1|3440311-3441561
CARD	617|HQ875016.1|HQ875016|Phenicol|Phenicol_efflux_pumps|CML	@phgb|U12338|6941-8201|ARO:3002693|cmlA1 [Pseudomonas aeruginosa]
NCBI	617|HQ875016.1|HQ875016|Phenicol|Phenicol_efflux_pumps|CML	gi|937637492|gb|KT334335.1|95710-94451 gi|917657445|gb|KR827684.1|44001-45260 gi|909636816|emb|LN850165.1|97922-99181 gi|909636430|emb|LN850162.1|2609-3868 gi|828971497|gb|CP011644.1|28238-29497 gi|754341646|gb|CP010575.1|10820-12079 gi|743008998|gb|CP010362.1|63970-62711 gi|742999823|gb|CP010396.1|6443-5184 gi|660582341|gb|CP008800.1|55144-56403 gi|587656709|gb|KF921569.1|3272-4531
ARG-ANNOT	Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-65:DQ174305:5-865:861
CARD	Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV	@phgb|DQ174305|4-865|ARO:3001120|SHV-65 [Klebsiella pneumoniae]
Lahey	Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV	ABA06587.1 DQ174305.1:5-865
NCBI	Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV	gi|74422852|gb|DQ174305.1|5-865
Resfinder	Bla|SHV-65|DQ174305|5-865|861|betalactams|Class_A_betalactamases|SHV	blaSHV-65_1_DQ174305
ARG-ANNOT	Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-183:HQ111474:1057-1857:801
CARD	Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA	@phgb|HQ111474|1056-1857|ARO:3001475|OXA-183 [Pseudomonas aeruginosa]
Lahey	Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA	ADV41666.1 HQ111474.1:1057-1857
NCBI	Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA	gi|318136684|gb|HQ111474.1|1057-1857
Resfinder	Bla|OXA-183|HQ111474|1057-1857|801|betalactams|Class_D_betalactamases|OXA	blaOXA-183_1_HQ111474
CARD	AGly|NC_004973.1.1449625|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	@phgb|NC_004973|7467-8271|ARO:3002639|APH(3'')-Ib [uncultured bacterium]
NCBI	AGly|NC_004973.1.1449625|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-DPRIME	gi|575453416|gb|CP006956.1|297940-298743 gi|575450852|gb|CP006955.1|2356229-2355426 gi|481063295|gb|CP005383.1|2131038-2130235 gi|399920115|gb|JN202624.1|3810-4613 gi|380873200|gb|CP003314.1|350-1153 gi|224184694|gb|FJ197818.1|2501-3304 gi|695213097|ref|NG_036548.1|2601-3404 gi|189916535|gb|CP001093.1|2621-3424 gi|116734647|gb|EF015636.1|297-1100 gi|66840966|emb|AJ877041.1|984-1787
CARD	gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA	@phgb|KM087848|0-1140|ARO:3002151|DHA-20 [Citrobacter koseri]
Lahey	gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA	AIT76101.1 KM087848.1:1-1140
NCBI	gi|698174187|gb|KM087848.1|betalactams|Class_C_betalactamases|DHA	gi|698174187|gb|KM087848.1|1-1140 gi|602655136|gb|KJ135989.1|1-1085
ARG-ANNOT	1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB	(Bla)CARB-4:AY913772:1600-2466:867
CARD	1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB	@phgb|U14749|690-1557|ARO:3002243|CARB-4 [Pseudomonas aeruginosa]
Lahey	1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB	AAC09012.1 U14749.1:691-1557
NCBI	1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB	gi|225393060|gb|FJ785525.1|4374-5240 gi|62719426|gb|AY913772.1|1600-2466 gi|62719421|gb|AY913771.1|1565-2431 gi|695198358|ref|NG_034961.1|691-1557
Resfinder	1286|U14749.1|PAU14749|betalactams|Class_A_betalactamases|CARB	blaCARB-4_1_U14749
ARG-ANNOT	122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	(MLS)LsaB:AJ579365:4150-5628:1479
CARD	122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	@phgb|NC_005076|4149-5628|ARO:3003111|lsaB [Staphylococcus sciuri]
NCBI	122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	gi|33352197|emb|AJ579365.1|4150-5628 gi|508125053|gb|KC736552.1|1-726
Resfinder	122|AJ579365.1|AJ579365|MLS|Streptogramin_resistance_ATP-binding_cassette_ABC_efflux_pumps|LSA	lsa(B)_1_AJ579365
ARG-ANNOT	Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	(Flq)QnrB46:JQ349154:1-680:680
NCBI	Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	gi|375332212|gb|JQ349154.1|1-680
Resfinder	Flq|QnrB46|JQ349154|1-680|680|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB	QnrB46_1_JQ349154
CARD	Bla|OXA-17_1_AF060206|betalactams|Class_D_betalactamases|OXA	@phgb|AF060206|0-774|ARO:3001412|OXA-17 [Pseudomonas aeruginosa]
NCBI	Bla|OXA-17_1_AF060206|betalactams|Class_D_betalactamases|OXA	gi|238865601|gb|GQ139471.1|1961-2735 gi|695212024|ref|NG_036316.1|2743-3517 gi|88911232|gb|DQ393782.1|1661-2435 gi|3089618|gb|AF060206.1|AF060206|1-775
CARD	Bla|GQ891757.1|gene9|betalactams|Class_A_betalactamases|PER	@phgb|GQ891757|7714-8641|ARO:3002363|PER-1 [Aeromonas caviae]
NCBI	Bla|GQ891757.1|gene9|betalactams|Class_A_betalactamases|PER	gi|298104543|gb|GQ891757.1|7715-8641
NCBI	Sul|sul2_15_FJ968160|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	gi|954171462|gb|KT151662.1|76901-77716 gi|954171374|gb|KT151661.1|76901-77716 gi|954171188|gb|KT151659.1|76865-77680 gi|954171094|gb|KT151658.1|76873-77688 gi|954171002|gb|KT151657.1|76901-77716 gi|954170914|gb|KT151656.1|76901-77716 gi|954170819|gb|KT151655.1|76901-77716 gi|954170731|gb|KT151654.1|76901-77716 gi|787519209|gb|KJ817377.1|2902-2087 gi|787519087|gb|KJ817376.1|78428-79243
Resfinder	Sul|sul2_15_FJ968160|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULII	sul2_15_FJ968160
ARG-ANNOT	Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME	(Bla)SME-1:Z28968:128-1012:885
CARD	Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME	@phgb|Z28968|0-885|ARO:3002379|SME-1 [Serratia marcescens]
Lahey	Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME	CAA82281.1 Z28968.1:128-1012
NCBI	Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME	gi|472863|emb|Z28968.1|128-1012 gi|510203|emb|Z30237.1|95-1
Resfinder	Bla|SME-1|Z28968|128-1012|885|betalactams|Class_A_betalactamases|SME	blaSME-1_1_Z28968
CARD	CARD|phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV	@phgb|AF030344|0-1260|ARO:3000181|tetV [Mycobacterium smegmatis str. MC2 155]
NCBI	CARD|phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV	gi|698956000|gb|CP009496.1|5287677-5286418 gi|698947717|gb|CP009495.1|5287695-5286436 gi|698938524|gb|CP009494.1|5287642-5286383 gi|399228992|gb|CP001663.1|5289210-5287951 gi|118168627|gb|CP000480.1|5287598-5286339 gi|2613095|gb|AF030344.1|AF030344|462-1721
Resfinder	CARD|phgb|AF030344|0-1260|ARO:3000181|tetV|Tetracyclines|Tetracycline_resistance_major_facilitator_superfamily_MFS_efflux_pumps|TETV	tet(V)_1_AF030344
ARG-ANNOT	Bla|SHV-56|AY352599|1-861|861|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-56:AY352599:1-861:861
NCBI	Bla|SHV-56|AY352599|1-861|861|betalactams|Class_A_betalactamases|SHV	gi|33943601|gb|AY352599.1|1-861
Resfinder	Bla|SHV-56|AY352599|1-861|861|betalactams|Class_A_betalactamases|SHV	blaSHV-56_2_AY352599
NCBI	Sul|sul1_14_AJ517791|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	gi|695209922|ref|NG_035908.1|2653-3492
Resfinder	Sul|sul1_14_AJ517791|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULI	sul1_14_AJ517791
ARG-ANNOT	Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-136:KC351754:158-1033:876
CARD	Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX	@phgb|KC351754|157-1033|ARO:3001995|CTX-M-136 [Proteus mirabilis]
Lahey	Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX	AGG08693.1 KC351754.1:158-1033
NCBI	Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX	gi|452107691|gb|KC351754.1|158-1033
Resfinder	Bla|CTX-M-136|KC351754|158-1033|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-136_1_KC351754
NCBI	Flq|CP001918.1|gene3562|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation	gi|295054830|gb|CP001918.1|3612829-3610193
NCBI	gi|591542788|gb|KJ207200.1|betalactams|Class_C_betalactamases|MIR	gi|591542788|gb|KJ207200.1|547-1693
ARG-ANNOT	Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation	(Tmt)DfrC:Z48233:337-822:486
NCBI	Tmt|DfrC|Z48233|337-822|486|Trimethoprim|Dihydrofolate_reductase|DFRC|RequiresSNPConfirmation	gi|760489133|gb|CP010942.1|983280-982795 gi|672710284|emb|HG813242.1|1147389-1146904 gi|886708|emb|Z48233.1|337-822 gi|57636010|gb|CP000029.1|1017478-1016993 gi|27316888|gb|AE015929.1|1129419-1128934
CARD	CARD|phgb|U00096|3413863-3415021|ARO:3000499|acrE|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRE	@phgb|U00096|3413863-3415021|ARO:3000499|acrE [Escherichia coli str. K-12 substr. MG1655]
NCBI	CARD|phgb|U00096|3413863-3415021|ARO:3000499|acrE|Aminoglycosides|Aminoglycoside_efflux_pumps|ACRE	gi|985000614|gb|CP014225.1|1611064-1612222 gi|958627747|gb|CP013253.1|9797-8639 gi|939732440|gb|CP011343.2|3389598-3390756 gi|939731527|gb|CP011342.2|3390252-3391410 gi|937526251|gb|CP012870.1|1227792-1226634 gi|937521852|gb|CP012869.1|1227792-1226634 gi|937517453|gb|CP012868.1|1227792-1226634 gi|932857508|emb|LN877770.1|4238360-4239518 gi|923416119|gb|CP011113.1|3370581-3371739 gi|899729770|gb|CP012127.1|3388309-3389467
NCBI	AGly|AY339625.2|gene5|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH3-PRIME	gi|695210321|ref|NG_035929.1|1729-914 gi|512492521|gb|JX424614.1|31121-30308 gi|297787483|gb|GU585907.1|23579-24392
CARD	6|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme	@phgb|AF173226|2558-3755|ARO:3003051|smeA [Stenotrophomonas maltophilia]
NCBI	6|AF173226.1|AF173226|Multi-drug_resistance|Multi-drug_efflux_pumps|sme	gi|5764623|gb|AF173226.1|2559-3755
ARG-ANNOT	gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA	(Bla)OXA-215:JN861782:1-825:825
CARD	gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA	@phgb|JN861782|0-828|ARO:3001713|OXA-214 [Acinetobacter haemolyticus]
Lahey	gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA	AEV91553.1 JN861782.1:1-828
NCBI	gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA	gi|360040237|gb|JN861782.1|1-828
Resfinder	gi|360040237|gb|JN861782.1|betalactams|Class_D_betalactamases|OXA	blaOXA-214_1_JN861782
CARD	AGly|aac6-prime-Ib-cr_3_EF210035|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	@phgb|EU085533|0-519|ARO:3002591|AAC(6')-Ib-Suzhou [Enterobacter cloacae]
NCBI	AGly|aac6-prime-Ib-cr_3_EF210035|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|125656349|gb|EF210035.1|1-519
Resfinder	AGly|aac6-prime-Ib-cr_3_EF210035|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')Ib-cr_3_EF210035;aac(6')Ib-cr_3_EF210035
CARD	gi|537430802|gb|KF057031.1|betalactams|Class_D_betalactamases|OXA	@phgb|KF057031|0-825|ARO:3001685|OXA-314 [Acinetobacter baumannii]
Lahey	gi|537430802|gb|KF057031.1|betalactams|Class_D_betalactamases|OXA	AGU69252.1 KF057031.1:1-825
NCBI	gi|537430802|gb|KF057031.1|betalactams|Class_D_betalactamases|OXA	gi|537430802|gb|KF057031.1|1-825
ARG-ANNOT	Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV	(Bla)SHV-11:HM751098:1-861:861
NCBI	Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV	gi|971338783|gb|CP006659.2|2613825-2612965 gi|940785863|gb|KT362706.1|6514-7374 gi|902619892|gb|CP011989.1|2698555-2699415 gi|902613520|gb|CP011985.1|2690969-2691829 gi|902606058|gb|CP011976.1|2757437-2758297 gi|902598956|gb|CP011980.1|2678237-2679097 gi|828971803|gb|CP011647.1|3732734-3731874 gi|828906158|gb|CP011578.1|720736-719876 gi|743003782|gb|CP010361.1|2704544-2705404 gi|742994340|gb|CP010392.1|2697062-2697922
Resfinder	Bla|SHV-11|HM751098|1-861|861|betalactams|Class_A_betalactamases|SHV	blaSHV-11_2_HM751098
Lahey	Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA	ABW76137.1 EU086833.1:89-898
NCBI	Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA	gi|925170772|gb|KR182164.1|1-810 gi|158634581|gb|EU086833.1|89-898
Resfinder	Bla|OXA-136_1_EU086833|betalactams|Class_D_betalactamases|OXA	blaOXA-136_1_EU086833
ARG-ANNOT	Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	(Tet)TetO:M18896:207-2126:1920
CARD	Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	@phgb|M18896|0-1920|ARO:3000190|tetO [Campylobacter jejuni]
NCBI	Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	gi|542827506|gb|CP006710.1|10427-8508 gi|315059176|gb|CP001961.1|8632-6713 gi|167583223|emb|AM884250.1|75-1994 gi|32189794|gb|M18896.2|CAJTRCCRA|207-2126
Resfinder	Tet|TetO|M18896|207-2126|1920|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETO	tet(O)_1_M18896
CARD	984|AB116646.1|AB116646|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	@phgb|AB116646|429-903|ARO:3002563|AAC(6')-Isa [Streptomyces albulus]
NCBI	984|AB116646.1|AB116646|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	gi|785755366|gb|CP006871.1|722168-722641 gi|42491249|dbj|AB116646.1|430-903
Resfinder	984|AB116646.1|AB116646|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME	aac(6')-Isa_1_AB116646
CARD	gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC	@phgb|KC465199|0-882|ARO:3002326|KPC-16 [Klebsiella pneumoniae]
Lahey	gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC	AGJ01153.1 KC465199.1:1-882
NCBI	gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC	gi|478437782|gb|KC465199.1|1-882
Resfinder	gi|478437782|gb|KC465199.1|betalactams|Class_A_betalactamases|KPC	blaKPC-16_1_KC465199
NCBI	MLS|ereA_3_AF326209|MLS|Macrolide_esterases|EREA	gi|14582735|gb|AF326209.1|76-1302 gi|954629879|gb|CP013215.1|280834-280647 gi|948288909|gb|KR259328.1|932-1119 gi|908266278|gb|CP012170.1|140874-141061 gi|659224503|gb|KJ668707.1|918-1105
Resfinder	MLS|ereA_3_AF326209|MLS|Macrolide_esterases|EREA	ere(A)_3_AF326209
NCBI	Mdr|AP009048.1|gene3414|Multi-drug_resistance|MDR_regulator|CPXAR	gi|985000614|gb|CP014225.1|2302870-2302172 gi|984297099|gb|CP014197.1|4477427-4478125 gi|975003027|gb|CP010829.1|4321600-4320902 gi|958627747|gb|CP013253.1|3897459-3898157 gi|939732440|gb|CP011343.2|4086429-4085731 gi|939731527|gb|CP011342.2|4087195-4086497 gi|937526251|gb|CP012870.1|535985-536683 gi|937521852|gb|CP012869.1|535985-536683 gi|937517453|gb|CP012868.1|535985-536683 gi|932857508|emb|LN877770.1|4928433-4927735
ARG-ANNOT	Flq|QepA2|EU847537|1672-3107|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA	(Flq)QepA2:EU847537:1672-3107:1536
NCBI	Flq|QepA2|EU847537|1672-3107|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA	gi|695213577|ref|NG_036622.1|1672-3207 gi|908210419|dbj|LC066224.1|365-1 gi|226295419|gb|FJ842530.1|1-216
Resfinder	Flq|QepA2|EU847537|1672-3107|1536|Fluoroquinolones|Quinolone_active_efflux|QEPA	qepA2_1_EU847537
CARD	Bla|KJ188748.1|gene1|betalactams|Class_A_betalactamases|SME	@phgb|KJ188748|0-885|ARO:3002383|SME-5 [Serratia marcescens]
Lahey	Bla|KJ188748.1|gene1|betalactams|Class_A_betalactamases|SME	AHV85514.1 KJ188748.1:1-885
NCBI	Bla|KJ188748.1|gene1|betalactams|Class_A_betalactamases|SME	gi|605052117|gb|KJ188748.1|1-885 gi|510203|emb|Z30237.1|95-1
CARD	Phe|AF024666.2|gene33|Phenicol|Phenicol_efflux_pumps|CMXAB	@phgb|AF024666|35934-37110|ARO:3002703|cmx [Corynebacterium striatum]
NCBI	Phe|AF024666.2|gene33|Phenicol|Phenicol_efflux_pumps|CMXAB	gi|937559777|gb|KT454971.1|355051-356226 gi|825088620|gb|KP975076.1|21056-19881 gi|672593547|gb|CP009211.1|162358-161183 gi|448276180|gb|CP004085.1|1763614-1762439 gi|171850984|emb|AM942444.1|888074-886899 gi|171850984|emb|AM942444.1|1797231-1796056 gi|164521141|gb|DQ914960.2|17785-16610 gi|150958624|gb|CP000744.1|3872405-3871230 gi|9945780|gb|AF024666.2|17052-15877 gi|9945780|gb|AF024666.2|35935-37110
NCBI	ACou|AE016830.1|gene1599|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation	gi|29350190|gb|AE016830.1|1575737-1573680
ARG-ANNOT	Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX	(Bla)CTX-M-21:AJ416346:557-1432:876
CARD	Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX	@phgb|AJ416346|556-1432|ARO:3001883|CTX-M-21 [Escherichia coli]
Lahey	Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX	CAD08929.1 AJ416346.1:557-1432
NCBI	Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX	gi|16444916|emb|AJ416346.1|557-1432
Resfinder	Bla|CTX-M-21|AJ416346|557-1432|876|betalactams|Class_A_betalactamases|CTX	blaCTX-M-21_1_AJ416346
CARD	CARD|phgb|EU269034|1479-2223|ARO:3002667|rmtD|Aminoglycosides|16S_rRNA_methyltransferases|RMTD	@phgb|EU269034|1479-2223|ARO:3002667|rmtD [Klebsiella pneumoniae]
NCBI	CARD|phgb|EU269034|1479-2223|ARO:3002667|rmtD|Aminoglycosides|16S_rRNA_methyltransferases|RMTD	gi|970697516|gb|KT935445.1|40165-39421 gi|970697516|gb|KT935445.1|46764-46020 gi|937559777|gb|KT454971.1|363947-363203 gi|695213116|ref|NG_036550.1|1480-2224 gi|164521141|gb|DQ914960.2|8889-9633 gi|469761626|gb|KC593856.1|491-1 gi|323099809|gb|HQ876773.1|423-1
ARG-ANNOT	AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	(AGly)AadA1:M95287:3320-4111:792;(AGly)AadA1b:JN596991:1364-2155:792
NCBI	AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	gi|957761167|gb|KT440883.1|4062-4853 gi|953357725|gb|KT290952.1|1807-2598 gi|724471669|gb|KM659858.1|1807-2598 gi|551485226|gb|KF525320.1|475-1266 gi|478894152|gb|KC511628.1|5753-6544 gi|425862497|gb|JX566714.1|1807-2598 gi|425862433|gb|JX566706.1|1807-2598 gi|409691378|gb|JX646702.1|48-839 gi|695226632|ref|NG_041549.1|1779-2570 gi|374282203|gb|JN596280.1|5860-6651
Resfinder	AGly|AadA1|M95287|3320-4111|792|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME	aadA1_4_M95287
NCBI	MLS|ermX_4_NC_005206|MLS|23S_rRNA_methyltransferases|ERMX	gi|927041813|gb|CP012649.1|2201510-2202364 gi|89513168|gb|DQ390458.1|27639-28493 gi|37993850|gb|AY255627.1|3668-4522 gi|37993850|gb|AY255627.1|3582-3654
