header,type,class,mechanism,group
MEG_692|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEJ,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEJ
MEG_693|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_694|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_695|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_696|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_697|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_698|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEK,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADEK
MEG_699|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADEL
MEG_700|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEL,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADEL
MEG_701|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADEN
MEG_702|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADEN,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADEN
MEG_703|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADER,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADER
MEG_704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ADES,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,ADES
MEG_705|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET1,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADET1
MEG_706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADET2,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ADET2
MEG_731|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,AMRA
MEG_732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AMRB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,AMRB
MEG_733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|AMVA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,AMVA
MEG_1121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ARMR,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,ARMR
MEG_1185|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,AXY
MEG_1186|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXY,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,AXY
MEG_1187|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|AXYZ|RequiresSNPConfirmation,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,AXYZ
MEG_1191|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,BAER
MEG_1192|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAER,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,BAER
MEG_1193|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,BAES
MEG_1194|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,BAES
MEG_1195|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|BAES,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,BAES
MEG_1209|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BCR
MEG_1210|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BCR
MEG_1211|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BCR
MEG_1212|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BCR1,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BCR1
MEG_1216|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,BCRCM
MEG_1217|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,BCRCM
MEG_1218|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_SMR_efflux_pumps|BCRCM,Drugs,Multi-drug resistance,Multi-drug SMR efflux pumps,BCRCM
MEG_1223|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,BEPC
MEG_1224|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPD,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,BEPD
MEG_1225|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPE,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,BEPE
MEG_1226|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,BEPF
MEG_1227|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|BEPG,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,BEPG
MEG_1229|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|BEXA,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,BEXA
MEG_1463|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BLT
MEG_1464|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|BLT,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,BLT
MEG_1469|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,BMR
MEG_1470|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,BMR
MEG_1471|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|BMR,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,BMR
MEG_1640|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,CDEA
MEG_1641|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|CDEA,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,CDEA
MEG_1643|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CEOA
MEG_1644|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|CEOB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CEOB
MEG_1737|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEA
MEG_1738|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEA
MEG_1739|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEB
MEG_1740|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEB
MEG_1741|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEC
MEG_1742|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEC
MEG_1743|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMED,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMED
MEG_1744|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEE,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEE
MEG_1745|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEF
MEG_1746|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|CMEF,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,CMEF
MEG_1747|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CMER
MEG_1748|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_regulator|CMER,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CMER
MEG_2115|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2116|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2117|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2118|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2119|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2120|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2121|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2122|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CPXAR,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CPXAR
MEG_2132|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|CRP,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,CRP
MEG_2704|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFMA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EFMA
MEG_2705|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EFPA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EFPA
MEG_2706|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRA,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,EFRA
MEG_2707|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_ABC_efflux_pumps|EFRB,Drugs,Multi-drug resistance,Multi-drug ABC efflux pumps,EFRB
MEG_2717|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,EMHC
MEG_2718|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|EMHC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,EMHC
MEG_2721|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRA
MEG_2722|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRA
MEG_2723|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRASM,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRASM
MEG_2724|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRB
MEG_2725|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRB
MEG_2726|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRBSM,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRBSM
MEG_2727|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRCSM,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRCSM
MEG_2728|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRD
MEG_2729|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRD
MEG_2730|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRD,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRD
MEG_2732|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRK
MEG_2733|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRK,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRK
MEG_2734|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRR,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,EMRR
MEG_2735|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EMRRSM,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,EMRRSM
MEG_2736|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRY
MEG_2737|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|EMRY,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,EMRY
MEG_2868|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,EVGS
MEG_2869|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,EVGS
MEG_2870|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|EVGS,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,EVGS
MEG_2883|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FARA
MEG_2884|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FARA
MEG_2885|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FARB
MEG_2886|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FARB,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FARB
MEG_2887|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_regulator|FARR,Drugs,Multi-drug resistance,Multi-drug MFS efflux regulator,FARR
MEG_2901|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FEXA
MEG_2902|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FEXA
MEG_2903|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FEXA
MEG_2904|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FEXA
MEG_2905|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MFS_efflux_pumps|FEXA,Drugs,Multi-drug resistance,Multi-drug MFS efflux pumps,FEXA
MEG_3081|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,GADW
MEG_3082|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADW,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,GADW
MEG_3083|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|GADX,Drugs,Multi-drug resistance,Multi-drug RND efflux regulator,GADX
MEG_3132|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESA,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,GESA
MEG_3133|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESB,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,GESB
MEG_3134|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESC,Drugs,Multi-drug resistance,Multi-drug RND efflux pumps,GESC
MEG_3267|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_MATE_efflux_pumps|HMRM,Drugs,Multi-drug resistance,Multi-drug MATE efflux pumps,HMRM
