Database,Source_header,MEGARes_header,UpdatedHeader
CARD,CARD|gb|NR_114659.1|+|1-1441|ARO:3003515|Mycobacteroides chelonae 16S rRNA mutation conferring resistance to kanamycin A [Mycobacterium] ,MEG_11|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
CARD,CARD|gb|X52922.1|+|0-1454|ARO:3003540|Mycolicibacterium smegmatis 16S rRNA mutation in the rrsB gene conferring resistance to hygromycin B [Mycolicibacterium smegmatis] ,MEG_12|Drugs|Aminoglycosides|Aminoglycoside-resistant_16S_ribosomal_subunit_protein|A16S|RequiresSNPConfirmation,
ARG-ANNOT,(AGly)Aac2-Ic:U72714:373-918:546,MEG_13|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|AB669090.1|+|12438-13221|ARO:3004628|AAC(2')-IIa [Burkholderia glumae] ,MEG_14|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|AL583926.1|+|40191-40740|ARO:3002527|AAC(2')-Ie [Mycobacterium leprae] ,MEG_15|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|KX531051.1|+|0-723|ARO:3003988|AAC(2')-IIb [Paenibacillus sp. LC231] ,MEG_16|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|L06156|+|263-800|ARO:3002523|AAC(2')-Ia [Providencia stuartii] ,MEG_17|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|U41471|+|264-852|ARO:3002524|AAC(2')-Ib [Mycolicibacterium fortuitum] ,MEG_18|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
CARD,CARD|gb|U72743|+|385-1018|ARO:3002526|AAC(2')-Id [Mycolicibacterium smegmatis MC2 155] ,MEG_19|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC2-PRIME,
AMRFinder,504873195|WP_015060297.1|NG_047248|1|1|aac(3)-IIa|aac(3)-IIa|aminoglycoside_N-acetyltransferase_AAC(3)-IIa NG_047248:101-961,MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080882|WP_063840265.1|NG_047246|1|1|aac(3)-IIa|aac(3)-IIa|aminoglycoside_N-acetyltransferase_AAC(3)-IIa NG_047246:101-961,MEG_21|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,499787584|WP_011468318.1|NG_048571|1|1|aac(3)-Ig|aac(3)-I|aminoglycoside_N-acetyltransferase_AAC(3)-Ig NG_048571:101-577,MEG_22|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080888|WP_063840271.1|NG_047260|1|1|aac(3)-VIII|aac(3)-VIII|aminoglycoside_N-acetyltransferase_AAC(3)-VIII NG_047260:101-964,MEG_23|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080877|WP_063840260.1|NG_047240|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047240:101-598,MEG_24|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,488018085|WP_002089484.1|NG_047234|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047234:101-565,MEG_25|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,695269179|WP_032491356.1|NG_047233|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047233:101-565,MEG_26|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080876|WP_063840259.1|NG_047239|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047239:101-565,MEG_27|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080875|WP_063840258.1|NG_047238|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047238:101-565,MEG_28|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,549637587|WP_022542381.1|NG_047232|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047232:101-565,MEG_29|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080874|WP_063840257.1|NG_047236|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_047236:101-565,MEG_30|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,500073597|WP_011749610.1|NG_048572|1|1|aac(3)-Ih|aac(3)-I|aminoglycoside_N-acetyltransferase_AAC(3)-Ih NG_048572:101-559,MEG_31|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080885|WP_063840268.1|NG_047254|1|1|aac(3)-IVa|aac(3)-IVa|aminoglycoside_N-acetyltransferase_AAC(3)-IVa NG_047254:101-886,MEG_32|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1028080887|WP_063840270.1|NG_047259|1|1|aac(3)-VIII|aac(3)-VIII|aminoglycoside_N-acetyltransferase_AAC(3)-VIII NG_047259:101-964,MEG_33|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,665542538|WP_031136588.1|NG_047258|1|1|aac(3)-VIII|aac(3)-VIII|aminoglycoside_N-acetyltransferase_AAC(3)-VIII NG_047258:101-964,MEG_34|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,489247580|WP_003155734.1|NG_052489|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_052489:101-577,MEG_35|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,502019214|WP_012695485.1|NG_047231|1|1|aac(3)-II|aac(3)-II|AAC(3)-II_family_aminoglycoside_N-acetyltransferase NG_047231:101-910,MEG_36|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,1105502209|WP_071846359.1|NG_052479|1|1|aac(3)-I|aac(3)-I|AAC(3)-I_family_aminoglycoside_3-N-acetyltransferase NG_052479:101-565,MEG_37|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,498491671|WP_010792467.1|NG_047257|1|1|aac(3)-Ib|aac(3)-I|aminoglycoside_N-acetyltransferase_AAC(3)-Ib NG_047257:101-565,MEG_38|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,446054031|WP_000131886.1|NG_052583|1|1|aac(3)-VIa|aac(3)-VIa|aminoglycoside_N-acetyltransferase_AAC(3)-VIa NG_052583:101-1000,MEG_39|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,499860203|WP_011540937.1|NG_048573|1|1|aac(3)-Ii|aac(3)-I|aminoglycoside_N-acetyltransferase_AAC(3)-Ii NG_048573:101-559,MEG_40|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,487991691|WP_002063884.1|NG_047247|1|1|aac(3)-IIa|aac(3)-IIa|aminoglycoside_N-acetyltransferase_AAC(3)-IIa NG_047247:101-961,MEG_41|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
AMRFinder,805306315|WP_046095284.1|NG_050595|1|1|aac(3)-XI|aac(3)-XI|aminoglycoside_N-acetyltransferase_AAC(3)-XI NG_050595:101-547,MEG_42|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-I:AJ877225:5293-5757:465,MEG_43|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-IIa:X51534:91-951:861,MEG_44|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-IId:EU022314:1-861:861,MEG_45|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-IIe:EU022315:1-861:861,MEG_46|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-Ik:BX571856:765853-766296:444,MEG_47|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|AB028210.1|-|2710-3565|ARO:3002544|AAC(3)-Xa [Streptomyces griseus] ,MEG_48|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|AJ511268|+|1294-1765|ARO:3002531|AAC(3)-Ic [Pseudomonas aeruginosa] ,MEG_49|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|AY458224|+|706-1183|ARO:3002529|AAC(3)-Id [Salmonella enterica subsp. enterica serovar Newport] ,MEG_50|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|DQ241380.1|+|0-777|ARO:3002539|AAC(3)-IV [Escherichia coli] ,MEG_51|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|L06161|+|105-945|ARO:3002538|AAC(3)-IIIc [Pseudomonas aeruginosa] ,MEG_52|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|LLLC01000048.1|-|352-1171|ARO:3002537|AAC(3)-IIIb [Pseudomonas aeruginosa] ,MEG_53|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|M22999|+|492-1359|ARO:3002541|AAC(3)-VIIa [Streptomyces rimosus] ,MEG_54|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|M55426|+|465-1326|ARO:3002542|AAC(3)-VIIIa [Streptomyces fradiae] ,MEG_55|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|M55427|+|273-1119|ARO:3002543|AAC(3)-IXa [Micromonospora chalcea] ,MEG_56|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|M88012|+|192-1092|ARO:3002540|AAC(3)-VIa [Enterobacter cloacae] ,MEG_57|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|M97172|+|655-1465|ARO:3002534|AAC(3)-IIb [Serratia marcescens] ,MEG_58|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|U12338|+|5055-5520|ARO:3002528|AAC(3)-Ia [Pseudomonas aeruginosa] ,MEG_59|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|X13543.1|+|185-1046|ARO:3002533|AAC(3)-IIa [Plasmid pWP113a] ,MEG_60|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|X54723|+|818-1679|ARO:3002535|AAC(3)-IIc [Escherichia coli] ,MEG_61|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
CARD,CARD|gb|X55652|+|1123-1939|ARO:3002536|AAC(3)-IIIa [Pseudomonas aeruginosa] ,MEG_62|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
NCBI,gi|295984001|gb|HM021184.1|2023-2487 gi|19919175|gb|AF347074.1|2576-3040 gi|13094933|gb|AF318077.1|2035-2499,MEG_63|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
NCBI,gi|975048878|gb|CP013962.1|318833-319693 gi|971493847|gb|CP010351.1|285748-286608 gi|943457735|gb|KT818627.1|82130-82990 gi|943457735|gb|KT818627.1|143721-144581 gi|928083869|gb|CP012682.1|23040-22180 gi|926473560|gb|CP012626.1|106956-106096 gi|909636483|emb|LN850163.1|64828-65688 gi|834762928|gb|CP006642.1|54938-54078 gi|825089575|gb|KP899804.1|15903-15043 gi|821436432|gb|EU418931.1|7932-8792 gi|808175404|emb|LN833432.1|39539-40399,MEG_64|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ResFinder,aac(3)-VIa_2_NC_009838,MEG_65|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ResFinder,aac(3)-IIIb_1_L06160 ,MEG_66|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ResFinder,aac(3)-Ia_1_X15852 ,MEG_67|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,
ARG-ANNOT,(AGly)Aac3-If:AY884051:61-525:468,MEG_68|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,
CARD,CARD|gb|L06157|+|554-1085|ARO:3002530|AAC(3)-Ib [Pseudomonas aeruginosa] ,MEG_69|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,
NCBI,gi|18958399|gb|AF355189.1|1369-1890 gi|425862449|gb|JX566708.1|329-386 gi|317018024|gb|GU390404.1|273-330 gi|317018003|gb|GU390401.1|293-350 gi|429201046|gb|JX193301.1|3545-3601,MEG_70|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3-PRIME,
AMRFinder,491430451|WP_005288246.1|NG_052528|1|1|aacA-ACI5|aacA-ACI5|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052528:101-541,MEG_71|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,491204525|WP_005062866.1|NG_052397|1|1|aac(6')_Acine|aac(6')_Acine|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052397:101-538,MEG_72|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1028080949|WP_063840332.1|NG_047320|1|1|aacA37|aacA37|aminoglycoside_6'-N-acetyltransferase_AacA37 NG_047320:81-482,MEG_73|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1102724706|WP_071593202.1|NG_052026|1|1|aacA49|aacA49|AAC(6')-Ia_family_aminoglycoside_6'-N-acetyltransferase_AacA49 NG_052026:52-606,MEG_74|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,695264030|WP_032490744.1|NG_047212|1|2|aac(6')-Ie|aac(6')-Ie|bifunctional_aminoglycoside_N-acetyltransferase_AAC(6')-Ie/aminoglycoside_O-phosphotransferase_APH(2'')-Ia NG_047212:101-1540,MEG_75|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,490808240|WP_004670361.1|NG_052394|1|1|aacA-ACI4|aacA-ACI4|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052394:101-538,MEG_76|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,491287000|WP_005145021.1|NG_052399|1|1|aacA-ACI7|aacA-ACI7|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052399:101-541,MEG_77|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,507092197|WP_016162901.1|NG_052166|1|1|aacA-ACI6|aacA-ACI6|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052166:101-541,MEG_78|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,491326234|WP_005184197.1|NG_052401|1|1|aacA-ACI6|aacA-ACI6|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052401:101-541,MEG_79|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,490939600|WP_004801433.1|NG_052396|1|1|aacA-ACI6|aacA-ACI6|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052396:101-541,MEG_80|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,491344301|WP_005202238.1|NG_052529|1|1|aacA-ACI6|aacA-ACI6|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052529:101-541,MEG_81|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1105502064|WP_071846216.1|NG_052216|1|1|aacA-ACI2|aacA-ACI2|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052216:101-541,MEG_82|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,514902502|WP_016628216.1|NG_052290|1|1|aacA-ENT1|aacA-ENT1|aminoglycoside_6'-N-acetyltransferase NG_052290:101-649,MEG_83|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,488218587|WP_002289795.1|NG_052371|1|1|aacA-ENT1|aacA-ENT1|aminoglycoside_6'-N-acetyltransferase NG_052371:101-649,MEG_84|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1105502203|WP_071846353.1|NG_052465|1|1|aacA-ENT1|aacA-ENT1|aminoglycoside_6'-N-acetyltransferase NG_052465:101-649,MEG_85|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,498420626|WP_010728104.1|NG_052160|1|1|aacA-ENT1|aacA-ENT1|aminoglycoside_6'-N-acetyltransferase NG_052160:101-649,MEG_86|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,488222361|WP_002293569.1|NG_052275|1|1|aacA-ENT1|aacA-ENT1|aminoglycoside_6'-N-acetyltransferase NG_052275:101-649,MEG_87|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1509794531|WP_122630840.1|NG_062248|1|2|aac(6')-Ie_fam|aac(6')-Ie_fam|bifunctional_AAC(6')-Ie_family_aminoglycoside_N-acetyltransferase/APH(2'')_family_aminoglycoside_O-phosphotransferase NG_062248:101-1552,MEG_88|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,498430382|WP_010736157.1|NG_052162|1|1|aacA-ENT4|aacA-ENT4|aminoglycoside_6'-N-acetyltransferase NG_052162:101-643,MEG_89|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,518552295|WP_019722502.1|NG_052504|1|1|aacA-ENT4|aacA-ENT4|aminoglycoside_6'-N-acetyltransferase NG_052504:101-643,MEG_90|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,558689798|WP_023519215.1|NG_052446|1|1|aacA-ENT4|aacA-ENT4|aminoglycoside_6'-N-acetyltransferase NG_052446:101-643,MEG_91|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,736683039|WP_034688908.1|NG_052177|1|1|aacA-ENT4|aacA-ENT4|aminoglycoside_6'-N-acetyltransferase NG_052177:101-643,MEG_92|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1185244969|WP_085334908.1|NG_055007|1|1|aac(6')-Id|aac(6')-Id|aminoglycoside_N-acetyltransferase_AAC(6')-Id NG_055007:101-550,MEG_93|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,757522614|WP_042785406.1|NG_052415|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052415:101-541,MEG_94|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,896196408|WP_049204401.1|NG_052192|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052192:101-541,MEG_95|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,545149714|WP_021505085.1|NG_052297|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052297:101-541,MEG_96|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,505192038|WP_015379140.1|NG_052263|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052263:101-541,MEG_97|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,763150745|WP_044030410.1|NG_052336|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052336:101-541,MEG_98|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,896176169|WP_049189080.1|NG_052193|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052193:101-541,MEG_99|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,515496910|WP_016930164.1|NG_047281|1|1|aac(6')-Ial|aac(6')_Serra|aminoglycoside_N-acetyltransferase_AAC(6')-Ial NG_047281:10-450,MEG_100|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,644365341|WP_025304332.1|NG_052448|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052448:101-541,MEG_101|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,727172415|WP_033639326.1|NG_052346|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052346:101-541,MEG_102|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,823104339|WP_047026538.1|NG_052468|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052468:101-541,MEG_103|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,817735110|WP_046687856.1|NG_052466|1|1|aac(6')_Serra|aac(6')_Serra|aminoglycoside_6'-N-acetyltransferase NG_052466:101-541,MEG_104|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,503015906|WP_013250882.1|NG_047288|1|1|aac(6')-Ib|aac(6')-Ib|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase NG_047288:101-655,MEG_105|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,1102724734|WP_071593230.1|NG_052059|1|1|aac(6')-Ib|aac(6')-Ib|AAC(6')-Ib_family_aminoglycoside_6'-N-acetyltransferase NG_052059:101-655,MEG_106|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,490908402|WP_004770322.1|NG_052395|1|1|aacA-ACI5|aacA-ACI5|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052395:101-541,MEG_107|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,835265496|WP_047426753.1|NG_052421|1|1|aacA-ACI5|aacA-ACI5|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052421:101-541,MEG_108|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
AMRFinder,491401196|WP_005259042.1|NG_052526|1|1|aacA-ACI5|aacA-ACI5|AAC(6')-Ighjkrstuvwx_family_aminoglycoside_N-acetyltransferase NG_052526:101-541,MEG_109|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,
