S1_test,S3_test,S2_test
MEG_4965|Drugs|betalactams|Class_D_betalactamases|OXA,8.0,8.0,6.0
MEG_4889|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_2502|Drugs|Trimethoprim|Dihydrofolate_reductase|DFRA,2.0,0,0
MEG_7124|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,6.0,0
MEG_5242|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_1794|Drugs|betalactams|Class_C_betalactamases|CMY,6.0,2.0,2.0
MEG_1950|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,4.0,2.0
MEG_2596|Drugs|betalactams|Class_C_betalactamases|DHA,2.0,8.0,2.0
MEG_4715|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_4282|Drugs|betalactams|Mutant_porin_proteins|OMP36|RequiresSNPConfirmation,2.0,8.0,0
MEG_2940|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.0,8.0,2.0
MEG_401|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ACRB,7.0,4.0,0
MEG_6239|Drugs|betalactams|Class_A_betalactamases|SHV,0,2.0,0
MEG_5901|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,1.0,0,0
MEG_2406|Drugs|betalactams|Class_A_betalactamases|CTX,8.0,4.0,2.0
MEG_7727|Drugs|betalactams|Class_B_betalactamases|VIM,2.0,2.0,0
MEG_7607|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF,2.0,4.0,0
MEG_1658|Drugs|betalactams|Class_B_betalactamases|CFIA,2.0,4.0,0
MEG_3572|Drugs|betalactams|Class_A_betalactamases|LEN,4.0,4.0,2.0
MEG_1532|Drugs|betalactams|Class_A_betalactamases|CARB,2.0,0,0
MEG_7308|Drugs|Elfamycins|EF-Tu_inhibition|TUFAB|RequiresSNPConfirmation,6.0,16.0,0
MEG_3465|Drugs|betalactams|Class_A_betalactamases|KPC,0,2.0,0
MEG_6826|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,8.0,6.0
MEG_7028|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,4.0,8.0,2.0
MEG_7284|Drugs|betalactams|Class_C_betalactamases|TRU,4.0,2.0,0
MEG_310|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,4.0,0
MEG_5299|Drugs|betalactams|Class_A_betalactamases|OXY,6.0,0,2.0
MEG_7136|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETM,0,6.0,0
MEG_6214|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,0
MEG_6192|Drugs|betalactams|Class_A_betalactamases|SHV,0,8.0,0
MEG_2327|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,10.0,2.0
MEG_1319|Drugs|betalactams|Class_A_betalactamases|BLASME,0,8.0,0
MEG_6639|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|SULIII,14.0,8.0,6.0
MEG_5028|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_5265|Drugs|betalactams|Class_D_betalactamases|OXA,0,2.0,0
MEG_5368|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,18.0,12.0,10.0
MEG_1386|Drugs|betalactams|Class_A_betalactamases|BLAZ,0,2.0,0
MEG_1136|Drugs|Rifampin|Rifampin_ADP-ribosyltransferase_Arr|ARR,0,2.0,0
MEG_3104|Drugs|betalactams|Class_A_betalactamases|GES,0,2.0,0
MEG_6872|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,6.0,6.0
MEG_7026|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,2.0,4.0,0
MEG_7201|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETS,8.0,6.0,4.0
MEG_5035|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_2593|Drugs|betalactams|Class_C_betalactamases|DHA,6.0,2.0,2.0
MEG_3133|Multi-compound|Drug_and_biocide_and_metal_resistance|Drug_and_biocide_and_metal_RND_efflux_pumps|GESB,6.0,12.0,6.0
MEG_4286|Drugs|Multi-drug_resistance|MDR_mutant_porin_proteins|OMPF|RequiresSNPConfirmation,2.0,4.0,0
MEG_6831|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,4.0,2.0
MEG_6041|Drugs|betalactams|Class_A_betalactamases|RAHN,4.0,6.0,2.0
MEG_3392|Drugs|betalactams|Class_B_betalactamases|IMP,6.0,4.0,2.0
MEG_5942|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,4.0,0,0
MEG_3229|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,8.0,12.0,4.0
MEG_6313|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,2.0,2.0
MEG_3373|Drugs|betalactams|Class_B_betalactamases|IMP,4.0,0,0
MEG_946|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,2.0,2.0,2.0
MEG_2102|Drugs|betalactams|Class_B_betalactamases|CPHA,2.0,4.0,0
MEG_7664|Drugs|betalactams|Class_A_betalactamases|VEB,2.0,2.0,0
MEG_2201|Drugs|betalactams|Class_A_betalactamases|CTX,6.0,2.0,0
MEG_2277|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,4.0,0
MEG_5192|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,2.0,2.0
MEG_366|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,4.0,0
MEG_687|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|ADEI,4.0,6.0,2.0
MEG_4107|Drugs|MLS|23S_rRNA_methyltransferases|MYRA,6.0,4.0,2.0
MEG_2223|Drugs|betalactams|Class_A_betalactamases|CTX,0,6.0,0
MEG_457|Drugs|betalactams|Class_C_betalactamases|ACT,0,6.0,0
MEG_6351|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,4.0,2.0
MEG_6870|Drugs|betalactams|Class_A_betalactamases|TEM,0,4.0,0
MEG_1775|Drugs|Phenicol|Phenicol_resistance_MFS_efflux_pumps|CMLB,6.0,10.0,2.0
MEG_2364|Drugs|betalactams|Class_A_betalactamases|CTX,4.0,6.0,4.0
MEG_491|Drugs|betalactams|Class_C_betalactamases|ACT,2.0,0,2.0
MEG_5388|Drugs|Aminocoumarins|Aminocoumarin-resistant_DNA_topoisomerases|PARE|RequiresSNPConfirmation,4.0,6.0,0
MEG_4135|Drugs|betalactams|Class_B_betalactamases|NDM,2.0,2.0,0
MEG_7644|Drugs|betalactams|Class_A_betalactamases|VEB,2.0,0,0
MEG_4712|Drugs|betalactams|Class_D_betalactamases|OXA,0,4.0,0
MEG_2842|Drugs|MLS|23S_rRNA_methyltransferases|ERMQ,0,4.0,0
MEG_2147|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,2.0
MEG_2433|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,2.0,0
MEG_3375|Drugs|betalactams|Class_B_betalactamases|IMP,0,2.0,0
MEG_6464|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,2.0
MEG_6483|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,2.0,4.0
MEG_6218|Drugs|betalactams|Class_A_betalactamases|SHV,0,6.0,0
MEG_7494|Drugs|Glycopeptides|VanB-type_regulator|VANSB,0,10.0,0
MEG_1623|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,8.0,0
MEG_4016|Drugs|betalactams|Class_C_betalactamases|MOX,0,6.0,0
MEG_6208|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_7513|Drugs|Glycopeptides|VanG-type_regulator|VANSG,6.0,8.0,2.0
MEG_3237|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|GYRA|RequiresSNPConfirmation,16.0,24.0,14.0
MEG_6272|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,0,0
MEG_5176|Drugs|betalactams|Class_D_betalactamases|OXA,0,6.0,0
MEG_4369|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|OQXB,4.0,4.0,0
MEG_340|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,4.0,0
MEG_7336|Drugs|Glycopeptides|VanA-type_resistance_protein|VANA,4.0,10.0,2.0
MEG_6039|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRVC,4.0,4.0,4.0
MEG_6454|Drugs|betalactams|Class_A_betalactamases|SHV,4.0,4.0,0
MEG_6064|Drugs|Aminoglycosides|16S_rRNA_methyltransferases|RMTB,0,4.0,0
MEG_4839|Drugs|betalactams|Class_D_betalactamases|OXA,4.0,4.0,2.0
MEG_5348|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PARC|RequiresSNPConfirmation,4.0,4.0,2.0
MEG_2631|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,4.0,4.0,2.0
MEG_6217|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,2.0
MEG_1851|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,2.0,0
MEG_5501|Drugs|betalactams|Class_C_betalactamases|PDC,0,2.0,0
MEG_460|Drugs|betalactams|Class_C_betalactamases|ACT,8.0,10.0,2.0
MEG_6102|Drugs|Rifampin|Rifampin-resistant_beta-subunit_of_RNA_polymerase_RpoB|RPOB|RequiresSNPConfirmation,10.0,16.0,8.0
MEG_6363|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,10.0,0
MEG_3350|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,2.0,2.0
MEG_6676|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,6.0,0
MEG_6211|Drugs|betalactams|Class_A_betalactamases|SHV,0,8.0,0
MEG_5810|Drugs|betalactams|Class_A_betalactamases|PSE,2.0,2.0,2.0
MEG_7678|Drugs|Multi-drug_resistance|Multi-drug_ABC_efflux_pumps|VGA,4.0,0,0
MEG_2967|Drugs|Sulfonamides|Sulfonamide-resistant_dihydropteroate_synthases|FOLP|RequiresSNPConfirmation,2.0,2.0,0
MEG_2259|Drugs|betalactams|Class_A_betalactamases|CTX,0,6.0,0
MEG_1903|Drugs|betalactams|Class_C_betalactamases|CMY,2.0,4.0,0
MEG_3420|Drugs|betalactams|Class_B_betalactamases|IND,4.0,2.0,0
MEG_2838|Drugs|MLS|23S_rRNA_methyltransferases|ERMN,0,2.0,0
MEG_7611|Drugs|Glycopeptides|VanF-type_accessory_protein|VANYF,4.0,6.0,2.0
MEG_6660|Drugs|betalactams|Class_A_betalactamases|TEM,0,8.0,0
MEG_3770|Drugs|betalactams|Penicillin_binding_protein|MECA,0,4.0,0
MEG_5036|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,2.0,0
MEG_414|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_regulator|ACRR|RequiresSNPConfirmation,0,8.0,0
MEG_6855|Drugs|betalactams|Class_A_betalactamases|TEM,2.0,4.0,0
MEG_6856|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,2.0,0
MEG_2643|Drugs|Trimethoprim|Dihydrofolate_reductase|DHFR|RequiresSNPConfirmation,2.0,0,0
MEG_3542|Drugs|betalactams|Class_A_betalactamases|LEN,4.0,2.0,2.0
MEG_6828|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,6.0,0
MEG_1898|Drugs|betalactams|Class_C_betalactamases|CMY,0,6.0,0
MEG_6989|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TET39,0,4.0,0
MEG_7555|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,0,2.0,0
MEG_239|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,2.0,2.0,2.0
MEG_4905|Drugs|betalactams|Class_D_betalactamases|OXA,2.0,0,0
MEG_7553|Drugs|Glycopeptides|VanA-type_resistance_protein|VANXA,2.0,2.0,0
MEG_314|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC6-PRIME,0,2.0,0
MEG_2324|Drugs|betalactams|Class_A_betalactamases|CTX,0,4.0,0
MEG_6288|Drugs|betalactams|Class_A_betalactamases|SHV,0,2.0,0
MEG_891|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_5655|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,2.0,2.0
MEG_3108|Drugs|betalactams|Class_A_betalactamases|GES,2.0,4.0,2.0
MEG_6729|Drugs|betalactams|Class_A_betalactamases|TEM,6.0,10.0,4.0
MEG_7659|Drugs|betalactams|Class_A_betalactamases|VEB,2.0,4.0,2.0
MEG_3337|Drugs|betalactams|Class_B_betalactamases|IMP,2.0,0,2.0
MEG_3785|Drugs|betalactams|Penicillin_binding_protein|MECA,2.0,4.0,0
MEG_5395|Drugs|Fluoroquinolones|Fluoroquinolone-resistant_DNA_topoisomerases|PAREF|RequiresSNPConfirmation,12.0,16.0,6.0
MEG_6413|Drugs|betalactams|Class_A_betalactamases|SHV,6.0,0,0
MEG_6321|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,2.0,0
MEG_7717|Drugs|betalactams|Class_B_betalactamases|VIM,4.0,2.0,2.0
MEG_2376|Drugs|betalactams|Class_A_betalactamases|CTX,2.0,4.0,0
MEG_6689|Drugs|betalactams|Class_A_betalactamases|TEM,8.0,6.0,2.0
MEG_3901|Multi-compound|Drug_and_biocide_resistance|Drug_and_biocide_RND_efflux_pumps|MEXB,8.0,4.0,0
MEG_857|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT3-DPRIME,0,2.0,0
MEG_4289|Drugs|betalactams|Mutant_porin_proteins|OMPFB|RequiresSNPConfirmation,6.0,8.0,2.0
MEG_2784|Drugs|MLS|23S_rRNA_methyltransferases|ERMA,2.0,2.0,2.0
MEG_6938|Drugs|betalactams|Class_A_betalactamases|TEM,4.0,0,0
MEG_7181|Drugs|Tetracyclines|Tetracycline_resistance_ribosomal_protection_proteins|TETQ,12.0,4.0,10.0
MEG_1601|Drugs|Phenicol|Chloramphenicol_acetyltransferases|CATB|RequiresSNPConfirmation,0,2.0,0
MEG_5549|Drugs|betalactams|Class_C_betalactamases|PDC,2.0,0,0
MEG_7432|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,4.0,4.0,4.0
MEG_7019|Drugs|Tetracyclines|Tetracycline_resistance_MFS_efflux_pumps|TETA,2.0,2.0,2.0
MEG_388|Drugs|betalactams|Class_C_betalactamases|ACC,10.0,6.0,4.0
MEG_7193|Drugs|Tetracyclines|Tetracycline_transcriptional_repressor|TETR|RequiresSNPConfirmation,4.0,2.0,2.0
MEG_6277|Drugs|betalactams|Class_A_betalactamases|SHV,2.0,6.0,2.0
MEG_20|Drugs|Aminoglycosides|Aminoglycoside_N-acetyltransferases|AAC3,2.0,0,0
MEG_6463|Drugs|betalactams|Class_A_betalactamases|SHV,0,2.0,0
MEG_729|Drugs|betalactams|Penicillin_binding_protein|AMPH,6.0,2.0,2.0
MEG_3945|Drugs|MLS|Macrolide_glycosyltransferases|MGT,8.0,8.0,4.0
MEG_5937|Drugs|Fluoroquinolones|Quinolone_resistance_protein_Qnr|QNRB,1.0,0,0
MEG_7438|Drugs|Glycopeptides|VanD-type_resistance_protein|VANHD,4.0,6.0,0
MEG_1965|Drugs|betalactams|Class_C_betalactamases|CMY,4.0,4.0,4.0
MEG_5220|Drugs|betalactams|Class_D_betalactamases|OXA,0,10.0,0
